Id,Date,Schl,Loc,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
293,2014-03-21,Gonzaga,N,Oklahoma State,W 85-77,200,25,50,.500,16,32,.500,9,18,.500,26,41,.634,85,26,65,.400,23,50,.460,3,15,.200,22,37,.595,77
294,2014-03-11,Gonzaga,N,BYU,W 75-64,200,25,48,.521,19,35,.543,6,13,.462,19,30,.633,75,21,59,.356,18,46,.391,3,13,.231,19,26,.731,64
295,2014-03-10,Gonzaga,N,Saint Mary's,W 70-54,200,23,50,.460,18,36,.500,5,14,.357,19,26,.731,70,19,51,.373,17,43,.395,2,8,.250,14,25,.560,54
296,2014-03-08,Gonzaga,N,Santa Clara,W 77-75,200,24,45,.533,22,34,.647,2,11,.182,27,33,.818,77,28,56,.500,21,37,.568,7,19,.368,12,15,.800,75
297,2014-03-01,Gonzaga,@,Saint Mary's,W 75-47,200,32,57,.561,29,47,.617,3,10,.300,8,12,.667,75,12,52,.231,7,34,.206,5,18,.278,18,28,.643,47
298,2014-02-27,Gonzaga,@,Pacific,W 70-53,200,21,50,.420,14,32,.438,7,18,.389,21,32,.656,70,17,55,.309,11,36,.306,6,19,.316,13,21,.619,53
299,2014-02-22,Gonzaga,@,San Diego,L 66-69,200,27,54,.500,21,41,.512,6,13,.462,6,11,.545,66,19,47,.404,11,25,.440,8,22,.364,23,33,.697,69
300,2014-02-20,Gonzaga,@,BYU,L 65-73,200,22,54,.407,18,36,.500,4,18,.222,17,23,.739,65,25,57,.439,21,43,.488,4,14,.286,19,28,.679,73
301,2014-02-15,Gonzaga,,Loyola Marymount,W 86-67,105,29,62,.468,21,37,.568,8,25,.320,20,25,.800,86,23,52,.442,19,39,.487,4,13,.308,17,19,.895,67
302,2014-02-13,Gonzaga,,Pepperdine,W 83-68,200,31,59,.525,21,35,.600,10,24,.417,11,16,.688,83,27,58,.466,24,41,.585,3,17,.176,11,17,.647,68
303,2014-02-08,Gonzaga,@,Memphis,L 54-60,200,23,51,.451,21,35,.600,2,16,.125,6,13,.462,54,19,55,.345,15,43,.349,4,12,.333,18,27,.667,60
304,2014-02-05,Gonzaga,,Portland,W 71-66,199,20,43,.465,11,24,.458,9,19,.474,22,32,.688,71,24,56,.429,16,44,.364,8,12,.667,10,14,.714,66
305,2014-02-01,Gonzaga,@,San Francisco,W 75-65,200,19,49,.388,16,33,.485,3,16,.188,34,41,.829,75,20,58,.345,12,33,.364,8,25,.320,17,22,.773,65
306,2014-01-29,Gonzaga,@,Santa Clara,W 54-52,200,16,46,.348,11,34,.324,5,12,.417,17,19,.895,54,18,50,.360,13,32,.406,5,18,.278,11,12,.917,52
307,2014-01-25,Gonzaga,,BYU,W 84-69,200,31,54,.574,21,32,.656,10,22,.455,12,12,1.000,84,26,58,.448,24,47,.511,2,11,.182,15,21,.714,69
308,2014-01-23,Gonzaga,,San Diego,W 59-56,200,25,52,.481,18,34,.529,7,18,.389,2,4,.500,59,19,46,.413,15,32,.469,4,14,.286,14,15,.933,56
309,2014-01-18,Gonzaga,@,Loyola Marymount,W 82-72,200,33,62,.532,28,49,.571,5,13,.385,11,14,.786,82,28,66,.424,22,51,.431,6,15,.400,10,13,.769,72
310,2014-01-16,Gonzaga,@,Pepperdine,W 70-53,200,25,55,.455,20,37,.541,5,18,.278,15,24,.625,70,17,52,.327,13,36,.361,4,16,.250,15,24,.625,53
311,2014-01-09,Gonzaga,@,Portland,L 73-82,200,26,58,.448,22,43,.512,4,15,.267,17,25,.680,73,27,52,.519,19,38,.500,8,14,.571,20,26,.769,82
312,2014-01-04,Gonzaga,,Pacific,W 86-64,200,27,39,.692,17,26,.654,10,13,.769,22,39,.564,86,19,60,.317,9,35,.257,10,25,.400,16,20,.800,64
313,2014-01-02,Gonzaga,,Saint Mary's,W 73-51,201,24,49,.490,15,30,.500,9,19,.474,16,18,.889,73,15,47,.319,14,35,.400,1,12,.083,20,27,.741,51
