Id,Date,Schl,Loc,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
378,2012-01-19,Gonzaga,,San Francisco,W 74-63,200,23,47,.489,18,34,.529,5,13,.385,23,32,.719,74,22,52,.423,15,30,.500,7,22,.318,12,21,.571,63
379,2012-01-14,Gonzaga,@,Loyola Marymount,W 62-58,200,24,52,.462,22,39,.564,2,13,.154,12,18,.667,62,19,50,.380,13,33,.394,6,17,.353,14,18,.778,58
380,2012-01-12,Gonzaga,@,Saint Mary's,L 62-83,200,22,54,.407,15,39,.385,7,15,.467,11,18,.611,62,30,59,.508,21,34,.618,9,25,.360,14,19,.737,83
381,2012-01-07,Gonzaga,,Santa Clara,W 82-60,200,30,55,.545,24,38,.632,6,17,.353,16,21,.762,82,23,60,.383,17,41,.415,6,19,.316,8,8,1.000,60
382,2012-01-05,Gonzaga,,Pepperdine,W 73-45,200,25,61,.410,15,34,.441,10,27,.370,13,21,.619,73,13,46,.283,10,35,.286,3,11,.273,16,22,.727,45
383,2011-12-31,Gonzaga,@,Xavier,W 72-65,200,26,59,.441,18,40,.450,8,19,.421,12,17,.706,72,25,59,.424,22,41,.537,3,18,.167,12,19,.632,65
384,2011-12-28,Gonzaga,,Portland,W 90-51,200,29,53,.547,20,35,.571,9,18,.500,23,36,.639,90,19,64,.297,15,44,.341,4,20,.200,9,15,.600,51
385,2011-12-22,Gonzaga,,Air Force,W 70-60,200,21,45,.467,13,27,.481,8,18,.444,20,27,.741,70,22,42,.524,16,26,.615,6,16,.375,10,15,.667,60
386,2011-12-20,Gonzaga,,Butler,W 71-55,200,24,49,.490,15,31,.484,9,18,.500,14,21,.667,71,24,65,.369,18,40,.450,6,25,.240,1,4,.250,55
387,2011-12-17,Gonzaga,N,Arizona,W 71-60,200,24,56,.429,21,36,.583,3,20,.150,20,32,.625,71,23,56,.411,17,36,.472,6,20,.300,8,9,.889,60
388,2011-12-15,Gonzaga,,Oral Roberts,W 67-61,200,23,45,.511,16,24,.667,7,21,.333,14,19,.737,67,24,60,.400,19,45,.422,5,15,.333,8,13,.615,61
389,2011-12-10,Gonzaga,,Michigan State,L 67-74,200,19,44,.432,12,30,.400,7,14,.500,22,28,.786,67,26,48,.542,20,35,.571,6,13,.462,16,25,.640,74
390,2011-12-03,Gonzaga,@,Illinois,L 75-82,201,26,51,.510,21,38,.553,5,13,.385,18,27,.667,75,32,60,.533,27,44,.614,5,16,.313,13,17,.765,82
391,2011-11-30,Gonzaga,,Notre Dame,W 73-53,200,28,61,.459,22,46,.478,6,15,.400,11,15,.733,73,20,52,.385,18,38,.474,2,14,.143,11,18,.611,53
392,2011-11-26,Gonzaga,N,Western Mich.,W 78-58,200,30,57,.526,24,43,.558,6,14,.429,12,21,.571,78,20,48,.417,15,33,.455,5,15,.333,13,21,.619,58
393,2011-11-19,Gonzaga,N,Hawaii,W 73-54,200,24,60,.400,17,42,.405,7,18,.389,18,28,.643,73,20,53,.377,13,39,.333,7,14,.500,7,8,.875,54
394,2011-11-14,Gonzaga,,Washington St.,W 89-81,200,23,56,.411,10,27,.370,13,29,.448,30,37,.811,89,29,61,.475,20,41,.488,9,20,.450,14,21,.667,81
395,2011-11-11,Gonzaga,,Eastern Wash.,W 77-69,200,19,51,.373,16,38,.421,3,13,.231,36,51,.706,77,23,61,.377,10,32,.313,13,29,.448,10,11,.909,69
396,2011-03-19,Gonzaga,N,BYU,L 67-89,200,24,57,.421,22,48,.458,2,9,.222,17,21,.810,67,31,59,.525,17,31,.548,14,28,.500,13,15,.867,89
397,2011-03-17,Gonzaga,N,St. John's (NY),W 86-71,200,28,52,.538,19,37,.514,9,15,.600,21,26,.808,86,27,58,.466,20,43,.465,7,15,.467,10,15,.667,71
398,2011-03-07,Gonzaga,N,Saint Mary's,W 75-63,200,25,51,.490,21,42,.500,4,9,.444,21,26,.808,75,20,50,.400,13,35,.371,7,15,.467,16,21,.762,63
399,2011-03-06,Gonzaga,N,San Francisco,W 71-67,200,22,54,.407,19,40,.475,3,14,.214,24,29,.828,71,21,46,.457,16,29,.552,5,17,.294,20,26,.769,67
400,2011-02-28,Gonzaga,,Cal St Bakersfield,W 96-49,200,33,66,.500,22,37,.595,11,29,.379,19,20,.950,96,21,61,.344,17,40,.425,4,21,.190,3,10,.300,49
401,2011-02-26,Gonzaga,@,San Diego,W 68-31,200,21,43,.488,20,36,.556,1,7,.143,25,30,.833,68,12,47,.255,8,28,.286,4,19,.211,3,7,.429,31
402,2011-02-24,Gonzaga,@,Saint Mary's,W 89-85 (OT),225,31,55,.564,27,44,.614,4,11,.364,23,29,.793,89,29,60,.483,19,37,.514,10,23,.435,17,20,.850,85
403,2011-02-19,Gonzaga,,San Francisco,W 70-53,200,28,65,.431,20,40,.500,8,25,.320,6,8,.750,70,20,53,.377,14,36,.389,6,17,.353,7,10,.700,53
404,2011-02-17,Gonzaga,,Santa Clara,W 85-76,200,29,54,.537,23,40,.575,6,14,.429,21,31,.677,85,21,64,.328,9,35,.257,12,29,.414,22,28,.786,76
405,2011-02-12,Gonzaga,@,Pepperdine,W 63-44,200,22,57,.386,18,40,.450,4,17,.235,15,18,.833,63,17,62,.274,15,47,.319,2,15,.133,8,12,.667,44
406,2011-02-10,Gonzaga,@,Loyola Marymount,W 67-57,200,20,47,.426,18,39,.462,2,8,.250,25,34,.735,67,19,55,.345,15,42,.357,4,13,.308,15,19,.789,57
407,2011-02-05,Gonzaga,N,Memphis,L 58-62,200,19,53,.358,13,33,.394,6,20,.300,14,18,.778,58,22,57,.386,16,35,.457,6,22,.273,12,17,.706,62
408,2011-02-03,Gonzaga,@,Portland,W 67-64,200,26,53,.491,23,41,.561,3,12,.250,12,18,.667,67,20,54,.370,9,33,.273,11,21,.524,13,19,.684,64
409,2011-01-29,Gonzaga,,San Diego,W 86-53,200,32,54,.593,26,37,.703,6,17,.353,16,25,.640,86,17,48,.354,10,30,.333,7,18,.389,12,19,.632,53
410,2011-01-27,Gonzaga,,Saint Mary's,L 71-73,200,25,56,.446,20,43,.465,5,13,.385,16,20,.800,71,28,58,.483,20,35,.571,8,23,.348,9,13,.692,73
411,2011-01-22,Gonzaga,@,San Francisco,L 91-96 (OT),225,34,76,.447,26,55,.473,8,21,.381,15,27,.556,91,31,68,.456,24,46,.522,7,22,.318,27,32,.844,96
412,2011-01-20,Gonzaga,@,Santa Clara,L 71-85,200,20,42,.476,16,29,.552,4,13,.308,27,31,.871,71,25,49,.510,17,29,.586,8,20,.400,27,33,.818,85
413,2011-01-15,Gonzaga,,Loyola Marymount,W 79-59,200,32,62,.516,29,50,.580,3,12,.250,12,22,.545,79,15,55,.273,10,38,.263,5,17,.294,24,30,.800,59
414,2011-01-13,Gonzaga,,Pepperdine,W 92-75,200,35,56,.625,25,38,.658,10,18,.556,12,12,1.000,92,28,54,.519,21,41,.512,7,13,.538,12,18,.667,75
415,2011-01-08,Gonzaga,,Portland,W 74-61,200,23,55,.418,14,30,.467,9,25,.360,19,24,.792,74,24,46,.522,17,34,.500,7,12,.583,6,8,.750,61
416,2011-01-02,Gonzaga,@,Wake Forest,W 73-63,200,26,52,.500,23,43,.535,3,9,.333,18,22,.818,73,19,56,.339,15,39,.385,4,17,.235,21,27,.778,63
417,2010-12-31,Gonzaga,,Oklahoma State,W 73-52,200,24,53,.453,17,35,.486,7,18,.389,18,26,.692,73,21,58,.362,16,44,.364,5,14,.357,5,14,.357,52
418,2010-12-29,Gonzaga,,Lafayette,W 83-55,200,29,60,.483,23,42,.548,6,18,.333,19,28,.679,83,20,60,.333,8,29,.276,12,31,.387,3,8,.375,55
419,2010-12-22,Gonzaga,,Xavier,W 64-54,200,16,42,.381,14,34,.412,2,8,.250,30,34,.882,64,16,48,.333,12,30,.400,4,18,.222,18,25,.720,54
420,2010-12-18,Gonzaga,N,Baylor,W 68-64,200,22,53,.415,18,44,.409,4,9,.444,20,24,.833,68,18,49,.367,16,37,.432,2,12,.167,26,33,.788,64
421,2010-12-16,Gonzaga,,Lewis & Clark,W 103-61,200,37,61,.607,25,42,.595,12,19,.632,17,23,.739,103,20,62,.323,16,43,.372,4,19,.211,17,23,.739,61
422,2010-12-11,Gonzaga,@,Notre Dame,L 79-83,200,29,55,.527,18,35,.514,11,20,.550,10,12,.833,79,24,48,.500,13,28,.464,11,20,.550,24,36,.667,83
423,2010-12-08,Gonzaga,@,Washington St.,L 59-81,200,19,48,.396,15,30,.500,4,18,.222,17,21,.810,59,30,60,.500,19,39,.487,11,21,.524,10,17,.588,81
424,2010-12-04,Gonzaga,N,Illinois,L 61-73,200,24,59,.407,21,43,.488,3,16,.188,10,16,.625,61,24,54,.444,12,31,.387,12,23,.522,13,16,.813,73
425,2010-11-30,Gonzaga,,Eastern Wash.,W 86-57,200,33,57,.579,22,41,.537,11,16,.688,9,14,.643,86,21,62,.339,13,38,.342,8,24,.333,7,18,.389,57
426,2010-11-23,Gonzaga,N,Marquette,W 66-63,200,26,60,.433,20,43,.465,6,17,.353,8,13,.615,66,21,54,.389,15,33,.455,6,21,.286,15,21,.714,63
427,2010-11-22,Gonzaga,N,Kansas State,L 64-81,200,19,57,.333,16,44,.364,3,13,.231,23,29,.793,64,29,57,.509,17,31,.548,12,26,.462,11,20,.550,81
428,2010-11-16,Gonzaga,,San Diego State,L 76-79,200,25,52,.481,20,34,.588,5,18,.278,21,27,.778,76,33,65,.508,28,52,.538,5,13,.385,8,15,.533,79
429,2010-11-14,Gonzaga,,IUPUI,W 86-56,200,35,58,.603,30,40,.750,5,18,.278,11,19,.579,86,18,52,.346,14,29,.483,4,23,.174,16,20,.800,56
430,2010-11-12,Gonzaga,,Southern,W 117-72,200,39,72,.542,26,50,.520,13,22,.591,26,33,.788,117,24,58,.414,12,27,.444,12,31,.387,12,20,.600,72
